V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,sex,age,education,job,income,drivingyears,experience,expenses,gcos.auto,gcos.cont,gcos.impe,auto.motivation,cont.motivation,mvs.intrinsic,mvs.integrated,mvs.identified,mvs.introjected,mvs.external,mvs.amotivation,raw.gcos.auto,raw.gcos.cont,raw.gcos.impe,raw.auto.motivation,raw.cont.motivation,raw.mvs.intrinsic,raw.mvs.integrated,raw.mvs.identified,raw.mvs.introjected,raw.mvs.external,raw.mvs.amotivation
1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,3,1,4,3,3,3,3,1,1,3,2,3,1,3,2,2,2,5.50,4.42,4.00,3.25,2.25,3.50,3.00,3.25,2.25,2.25,2.75
1,1,2,1,2,2,1,1,1,1,1,2,1,1,2,1,1,1,1,1,1,2,2,1,2,2,2,1,4,3,1,1,2,2,2,2,3,2,2,2,6.58,3.83,4.50,2.75,1.63,2.00,2.50,3.75,1.50,1.75,1.00
1,1,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,3,3,1,6,4,2,4,1,1,2,2,2,2,2,2,2,2,2,5.00,4.25,2.75,2.17,2.50,2.00,2.00,2.50,2.50,2.50,2.75
2,2,1,2,1,1,2,2,2,2,2,1,2,2,1,2,1,1,1,1,2,1,4,1,2,2,2,2,2,1,1,1,3,3,3,1,3,2,3,1,4.92,4.83,4.25,3.58,3.25,4.00,3.00,3.75,2.75,3.75,3.00
1,2,2,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,1,2,1,3,2,1,1,3,1,1,3,3,3,3,3,3,3,2,6.42,3.75,3.08,4.25,3.75,4.75,3.75,4.25,4.00,3.50,2.00
2,2,2,2,1,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,1,5,2,2,5,3,1,1,3,1,3,3,3,3,2,2,5.67,3.58,4.33,3.75,3.00,3.75,3.50,4.00,3.25,2.75,2.25
2,2,1,1,1,1,2,1,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,3,1,1,4,3,1,2,3,2,3,2,3,2,2,2,6.42,3.00,2.42,3.58,1.00,5.00,2.00,3.75,1.00,1.00,1.00
1,2,2,2,1,1,2,2,2,2,2,2,2,2,2,1,2,1,1,2,1,2,2,4,1,6,4,3,4,3,1,1,3,2,2,3,3,2,2,2,6.25,4.08,3.67,4.00,1.50,2.25,4.75,5.00,2.00,1.00,1.25
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,6,4,3,5,3,1,1,3,2,3,3,3,2,2,2,5.25,3.75,3.42,3.50,1.63,3.50,3.75,3.25,1.75,1.50,1.75
1,1,1,2,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,3,3,3,5,3,1,1,3,2,3,3,3,2,2,2,6.25,4.67,4.33,4.25,2.13,4.75,3.25,4.75,2.00,2.25,2.75
1,2,2,1,2,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,3,2,2,2,2,1,3,1,1,3,2,3,3,3,1,2,3,5.33,4.25,4.42,4.00,2.75,4.00,4.00,4.00,3.00,2.50,3.25
2,2,1,2,1,1,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,2,1,4,2,2,3,1,2,3,2,3,3,3,2,3,2,6.67,4.33,2.33,3.83,2.88,4.00,3.50,4.00,2.50,3.25,1.00
1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,2,1,2,1,1,2,1,1,2,1,6,3,2,5,3,1,1,3,2,3,2,3,2,2,2,6.42,3.08,4.42,3.50,2.13,4.50,2.25,3.75,2.50,1.75,2.00
2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,2,1,4,1,1,3,3,1,2,1,2,2,1,3,2,2,2,5.75,4.50,2.83,3.00,2.38,2.75,3.00,3.25,2.50,2.25,2.00
1,2,2,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,3,2,3,4,3,1,2,3,2,3,3,3,3,2,2,6.67,4.67,2.25,4.17,2.88,4.25,4.00,4.25,3.75,2.00,1.25
2,1,1,2,2,2,2,2,2,2,1,1,2,1,1,2,1,2,1,1,2,2,2,3,1,2,4,3,2,3,1,1,3,3,3,3,3,3,3,2,6.58,4.42,4.33,3.67,3.50,3.25,4.00,3.75,3.75,3.25,2.75
2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,2,1,4,2,3,3,3,1,1,3,2,3,3,3,2,2,2,6.08,3.67,3.17,4.58,1.50,4.00,4.75,5.00,2.00,1.00,1.00
1,2,2,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,1,2,2,1,6,2,2,3,3,1,1,3,3,3,3,3,3,2,2,5.92,4.00,3.50,4.92,3.13,5.00,4.75,5.00,3.75,2.50,1.00
2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,2,2,1,3,3,2,4,3,3,3,3,2,3,1,3,3,2,2,6.50,6.42,5.92,3.75,2.88,3.75,3.00,4.50,3.50,2.25,2.75
1,1,2,1,2,2,1,2,2,2,1,1,2,1,1,1,1,2,1,1,2,3,2,2,1,3,2,3,2,3,1,1,3,2,1,1,3,2,2,2,6.00,4.42,3.92,3.17,2.13,3.00,3.00,3.50,2.50,1.75,1.75
1,2,2,2,2,1,1,2,1,1,2,2,2,2,2,1,1,1,1,1,1,2,2,2,2,1,2,2,2,3,1,2,3,2,3,2,3,2,2,2,5.92,4.67,2.83,3.50,2.38,4.00,2.25,4.25,2.25,2.50,2.00
1,1,1,2,1,1,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,2,1,6,4,3,4,3,1,1,3,2,1,3,3,2,2,2,5.42,4.25,4.25,3.42,2.38,3.00,3.50,3.75,2.25,2.50,2.50
1,1,2,2,2,2,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,3,1,6,4,2,4,3,1,3,3,2,3,2,3,2,2,2,6.58,5.00,5.08,3.92,1.00,5.00,2.25,4.50,1.00,1.00,1.00
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,2,1,6,3,1,4,3,1,1,3,2,3,3,3,2,2,2,6.08,4.50,3.17,4.50,2.13,5.00,4.00,4.50,2.50,1.75,1.25
2,2,1,2,1,1,2,1,2,2,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,3,2,3,1,2,3,2,3,3,3,2,2,2,5.33,3.00,2.42,4.58,1.63,4.75,4.50,4.50,1.75,1.50,1.50
1,1,2,2,2,2,1,2,1,1,2,2,2,1,2,1,1,1,1,1,1,2,2,2,1,4,4,2,5,3,1,1,1,2,3,2,3,2,2,2,5.92,3.92,3.92,3.00,1.63,3.75,1.00,4.25,2.00,1.25,1.00
2,2,2,2,1,1,2,2,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,2,3,3,2,1,2,3,1,2,3,2,3,1,3,2,2,1,6.92,3.67,1.50,3.83,1.38,4.25,3.00,4.25,1.25,1.50,3.00
2,2,2,1,1,2,2,1,1,2,2,1,1,2,2,1,1,1,2,1,2,1,2,2,1,5,4,3,4,3,1,1,3,2,3,2,3,2,2,3,6.25,4.08,3.42,3.67,2.00,4.00,2.75,4.25,2.50,1.50,3.50